,Gaia period,Name,Nobs,Outliers1,Outliers3,Subtype,Type,mean,mean N,med_sig,median,p16,p84,sem,std,unexplained_variance,window
38,13.536183859648268,6.904301907057504e+18,"(30.0, 50.0]",0.25,0.25,T2CEP,CEP,0.9883480814906276,50.0,1.1766999363198232e-05,0.9883582187690982,0.9883127635808612,0.9883679907371183,9.21602180962414e-06,2.606684606859339e-05,5.588475467479777e-10,0.4
39,13.536183859648268,6.904301907057504e+18,"(50.0, inf]",,,T2CEP,CEP,,,,,,,,,,0.4
40,13.536183859648268,6.904301907057504e+18,"(10.0, 20.0]",,,T2CEP,CEP,,,,,,,,,,0.001
41,13.536183859648268,6.904301907057504e+18,"(20.0, 30.0]",0.25,0.25,T2CEP,CEP,0.9927803515912392,30.0,0.003308127463167717,0.9883579473109227,0.9883056417080858,1.0039771159804736,0.002907909254287298,0.00822480941112666,6.78055059241843e-05,0.001
42,13.536183859648268,6.904301907057504e+18,"(30.0, 50.0]",0.5,0.0,T2CEP,CEP,0.988327793157261,50.0,1.1856108608014419e-05,0.988324936360301,0.9883076100293168,0.9883523186165842,6.819457071988776e-06,1.9288337358455288e-05,1.9312894084226013e-10,0.001
43,13.536183859648268,6.904301907057504e+18,"(50.0, inf]",,,T2CEP,CEP,,,,,,,,,,0.001
44,13.536183859648268,6.904301907057504e+18,"(10.0, 20.0]",,,T2CEP,CEP,,,,,,,,,,0.002
45,13.536183859648268,6.904301907057504e+18,"(20.0, 30.0]",0.25,0.0,T2CEP,CEP,0.9883882095274259,30.0,1.1163622632772388e-05,0.9883828164231836,0.988372752689837,0.9884118638834636,6.228008879419141e-06,1.761546924770922e-05,1.7597576529785257e-10,0.002
46,13.536183859648268,6.904301907057504e+18,"(30.0, 50.0]",0.25,0.0,T2CEP,CEP,0.9883746376204225,50.0,7.136317005371711e-05,0.9883815299903166,0.9882983584868894,0.9884404403517169,2.2843040771848166e-05,6.46098761307785e-05,-1.392565695430015e-09,0.002
47,13.536183859648268,6.904301907057504e+18,"(50.0, inf]",,,T2CEP,CEP,,,,,,,,,,0.002
48,13.536183859648268,6.904301907057504e+18,"(10.0, 20.0]",,,T2CEP,CEP,,,,,,,,,,0.004
49,13.536183859648268,6.904301907057504e+18,"(20.0, 30.0]",0.25,0.25,T2CEP,CEP,0.9927803515912392,30.0,0.003308127463167717,0.9883579473109227,0.9883056417080858,1.0039771159804736,0.002907909254287291,0.008224809411126641,6.78055059241843e-05,0.004
50,13.536183859648268,6.904301907057504e+18,"(30.0, 50.0]",0.5,0.0,T2CEP,CEP,0.9883277931572609,50.0,1.1856108608014419e-05,0.988324936360301,0.9883076100293168,0.9883523186165842,6.819457071988963e-06,1.9288337358455816e-05,1.9312894084226013e-10,0.004
51,13.536183859648268,6.904301907057504e+18,"(50.0, inf]",,,T2CEP,CEP,,,,,,,,,,0.004
52,13.536183859648268,6.904301907057504e+18,"(10.0, 20.0]",,,T2CEP,CEP,,,,,,,,,,0.007
53,13.536183859648268,6.904301907057504e+18,"(20.0, 30.0]",0.25,0.0,T2CEP,CEP,0.988388209527426,30.0,1.1163622632772388e-05,0.9883828164231836,0.988372752689837,0.9884118638834636,6.228008879418772e-06,1.761546924770818e-05,1.7597576529785257e-10,0.007
54,13.536183859648268,6.904301907057504e+18,"(30.0, 50.0]",0.25,0.0,T2CEP,CEP,0.9883746376204225,50.0,7.136317005371711e-05,0.9883815299903166,0.9882983584868894,0.9884404403517169,2.2843040771856463e-05,6.460987613080197e-05,-1.3925656954300155e-09,0.007
55,13.536183859648268,6.904301907057504e+18,"(50.0, inf]",,,T2CEP,CEP,,,,,,,,,,0.007
56,13.536183859648268,6.904301907057504e+18,"(10.0, 20.0]",,,T2CEP,CEP,,,,,,,,,,0.014
57,13.536183859648268,6.904301907057504e+18,"(20.0, 30.0]",0.25,0.25,T2CEP,CEP,0.9927803515912392,30.0,0.003308127463167717,0.9883579473109227,0.9883056417080858,1.0039771159804736,0.0029079092542872854,0.008224809411126625,6.78055059241843e-05,0.014
58,13.536183859648268,6.904301907057504e+18,"(30.0, 50.0]",0.5,0.0,T2CEP,CEP,0.988327793157261,50.0,1.1856108608014419e-05,0.988324936360301,0.9883076100293168,0.9883523186165842,6.819457071995161e-06,1.9288337358473346e-05,1.9312894084226013e-10,0.014
59,13.536183859648268,6.904301907057504e+18,"(50.0, inf]",,,T2CEP,CEP,,,,,,,,,,0.014
60,13.536183859648268,6.904301907057504e+18,"(10.0, 20.0]",,,T2CEP,CEP,,,,,,,,,,0.028
61,13.536183859648268,6.904301907057504e+18,"(20.0, 30.0]",0.25,0.0,T2CEP,CEP,0.988388209527426,30.0,1.1163622632772388e-05,0.9883828164231836,0.988372752689837,0.9884118638834636,6.2280088794237046e-06,1.761546924772213e-05,1.7597576529785251e-10,0.028
