,N,Filter,phase,mag,kind,phase bin
327,5,I,0.3273273273273273,12.364351006048825,fast,0.32499999999999996
328,5,I,0.32832832832832826,12.362438686118743,fast,0.32499999999999996
329,5,I,0.3293293293293293,12.360561950683659,fast,0.32499999999999996
330,5,I,0.3303303303303303,12.358720873982277,fast,0.32499999999999996
331,5,I,0.3313313313313313,12.356915528842737,fast,0.32499999999999996
332,5,I,0.33233233233233234,12.355145986679728,fast,0.32499999999999996
333,5,I,0.3333333333333333,12.353412317491674,fast,0.32499999999999996
334,5,I,0.3343343343343343,12.351714589857956,fast,0.32499999999999996
335,5,I,0.3353353353353353,12.3500528709362,fast,0.32499999999999996
336,5,I,0.3363363363363363,12.348427226459625,fast,0.32499999999999996
337,5,I,0.3373373373373373,12.346837720734438,fast,0.32499999999999996
338,5,I,0.3383383383383383,12.345284416637293,fast,0.32499999999999996
339,5,I,0.3393393393393393,12.343767375612806,fast,0.32499999999999996
340,5,I,0.34034034034034033,12.342286657671117,fast,0.32499999999999996
341,5,I,0.3413413413413413,12.340842321385523,fast,0.32499999999999996
342,5,I,0.3423423423423423,12.33943442389016,fast,0.32499999999999996
343,5,I,0.3433433433433433,12.338063020877735,fast,0.32499999999999996
344,5,I,0.3443443443443443,12.336728166597338,fast,0.32499999999999996
345,5,I,0.3453453453453453,12.335429913852284,fast,0.32499999999999996
346,5,I,0.3463463463463463,12.334168313998026,fast,0.32499999999999996
347,5,I,0.3473473473473473,12.332943416940127,fast,0.32499999999999996
348,5,I,0.34834834834834827,12.331755271132286,fast,0.32499999999999996
349,5,I,0.34934934934934936,12.330603923574415,fast,0.32499999999999996
350,5,I,0.35035035035035034,12.32948941981079,fast,0.375
351,5,I,0.3513513513513513,12.328411803928237,fast,0.375
352,5,I,0.35235235235235235,12.327371118554401,fast,0.375
353,5,I,0.3533533533533533,12.32636740485605,fast,0.375
354,5,I,0.3543543543543543,12.325400702537449,fast,0.375
355,5,I,0.35535535535535534,12.324471049838795,fast,0.375
356,5,I,0.3563563563563563,12.323578483534694,fast,0.375
357,5,I,0.35735735735735735,12.322723038932718,fast,0.375
358,5,I,0.35835835835835833,12.321904749871997,fast,0.375
359,5,I,0.3593593593593593,12.32112364872189,fast,0.375
360,5,I,0.36036036036036034,12.320379766380697,fast,0.375
361,5,I,0.3613613613613613,12.319673132274442,fast,0.375
362,5,I,0.3623623623623623,12.319003774355705,fast,0.375
363,5,I,0.36336336336336333,12.318371719102522,fast,0.375
364,5,I,0.3643643643643643,12.317776991517333,fast,0.375
365,5,I,0.3653653653653653,12.31721961512599,fast,0.375
366,5,I,0.3663663663663663,12.316699611976833,fast,0.375
367,5,I,0.3673673673673673,12.316217002639819,fast,0.375
368,5,I,0.36836836836836834,12.315771806205696,fast,0.375
369,5,I,0.36936936936936937,12.315364040285262,fast,0.375
370,5,I,0.37037037037037035,12.314993721008662,fast,0.375
371,5,I,0.37137137137137133,12.31466086302475,fast,0.375
372,5,I,0.37237237237237236,12.31436547950051,fast,0.375
373,5,I,0.37337337337337334,12.314107582120537,fast,0.375
374,5,I,0.3743743743743743,12.313887181086567,fast,0.375
375,5,I,0.37537537537537535,12.313704285117087,fast,0.375
376,5,I,0.37637637637637633,12.313558901446976,fast,0.375
377,5,I,0.37737737737737737,12.313451035827233,fast,0.375
378,5,I,0.37837837837837834,12.313380692524733,fast,0.375
379,5,I,0.3793793793793793,12.313347874322075,fast,0.375
380,5,I,0.38038038038038036,12.313352582517458,fast,0.375
381,5,I,0.38138138138138133,12.31339481692464,fast,0.375
382,5,I,0.3823823823823823,12.31347457587294,fast,0.375
383,5,I,0.38338338338338335,12.313591856207301,fast,0.375
