kind,N,Filter,phase bin,p_16,p_50,p_84
fast,55,b'zg',0.275,15.109818786488525,15.128041603372822,15.143330925159185
fast,55,b'zg',0.32499999999999996,15.03965454955156,15.06536732754243,15.088833822162114
fast,55,b'zg',0.375,14.951919015328398,14.982599808727569,15.011941849138143
fast,55,b'zg',0.42500000000000004,14.855217409329825,14.887857002448493,14.920196679751184
fast,55,b'zg',0.475,14.759034362090556,14.790431417387975,14.822596810210218
fast,55,b'zg',0.525,14.672803643167441,14.699878692972941,14.728714974010966
fast,55,b'zg',0.575,14.604982883654433,14.625080368719932,14.647759234670843
fast,55,b'zg',0.625,14.562224039741114,14.573372770254869,14.58766984581208
fast,55,b'zg',0.675,14.548772756934676,14.549827452100708,14.554340459835759
fast,55,b'zg',0.725,14.551040070143493,14.556753772423821,14.565798043954342
fast,55,b'zg',0.775,14.57809238363269,14.593472387912882,14.611780348683581
fast,55,b'zg',0.825,14.632844071065374,14.65638188473341,14.682157864010989
fast,55,b'zg',0.875,14.709925009359425,14.73931201029956,14.770027863513995
fast,55,b'zg',0.925,14.801774990869495,14.834128860390507,14.866771933136636
fast,55,b'zg',0.975,14.899385239265053,14.931532664001502,14.962901277451781
fast,55,b'zr',0.0245,13.524124819922072,13.527343329087769,13.52919014186964
fast,55,b'zr',0.07500000000000001,13.506651496593275,13.513718303496209,13.519562809875731
fast,55,b'zr',0.125,13.47893768788584,13.489159670091873,13.498428632602154
fast,55,b'zr',0.175,13.443701603426021,13.456076174436664,13.467860480101317
fast,55,b'zr',0.225,13.40439924830433,13.417712692661087,13.430856520083118
fast,55,b'zr',0.275,13.364885453199369,13.377831969415656,13.391046153377765
fast,55,b'zr',0.32499999999999996,13.329035787122892,13.340345562544044,13.352334037159796
fast,55,b'zr',0.375,13.300366436119768,13.30893019194744,13.318517110639819
fast,55,b'zr',0.42500000000000004,13.28168933075854,13.286667121687001,13.29291218588677
fast,55,b'zr',0.475,13.27486721195616,13.275739945238849,13.27803063020054
