,N_I,N_V,Name,Nobs,OGLE period,Outliers1,Outliers3,mean,mean N,med_sig,median,p16,p84,sem,std,unexplained_variance,window
47,123.0,123.0,OGLE-BLG-RRLYR-00003,"(50.0, inf]",0.51546531,,,,,,,,,,,,0.004
48,123.0,123.0,OGLE-BLG-RRLYR-00003,"(10.0, 20.0]",0.51546531,0.3548387096774194,0.0967741935483871,1.22085700242978,16.387096774193548,0.2911205440387975,0.1760996229386222,0.11323274245150847,0.5154578652093804,0.522801045261181,2.9108330286554884,9.206394798625286,0.02
49,123.0,123.0,OGLE-BLG-RRLYR-00003,"(20.0, 30.0]",0.51546531,0.46153846153846156,0.07692307692307693,0.5073864060014687,22.240384615384617,0.1490514984518498,0.5154068852034289,0.14613220227209162,0.5154626577883902,0.08628662679878826,0.6222217146197125,0.35756245907586887,0.02
50,123.0,123.0,OGLE-BLG-RRLYR-00003,"(30.0, 50.0]",0.51546531,0.4166666666666667,0.0,0.38362085740680524,30.5,0.17213274299716963,0.5154174063122459,0.10866420735918864,0.5154583999467545,0.029198698988416382,0.17519219393049829,0.017580389883219725,0.02
51,123.0,123.0,OGLE-BLG-RRLYR-00003,"(50.0, inf]",0.51546531,,,,,,,,,,,,0.02
52,123.0,123.0,OGLE-BLG-RRLYR-00003,"(10.0, 20.0]",0.51546531,0.28125,0.09375,0.8478565212964068,16.671875,0.2461874952682386,0.16849581058444196,0.10974595974810103,0.5154234058988705,0.4179525404508267,2.364296604535395,5.8161368005809155,0.089
53,123.0,123.0,OGLE-BLG-RRLYR-00003,"(20.0, 30.0]",0.51546531,0.46,0.06,0.4035201526931172,22.35,0.2742696365395919,0.5153929682750229,0.12765967271828216,0.5154416804984099,0.04240256228392758,0.2998313933065013,0.025392580462538714,0.089
54,123.0,123.0,OGLE-BLG-RRLYR-00003,"(30.0, 50.0]",0.51546531,0.4166666666666667,0.16666666666666666,0.4558415837581382,30.5,2.6018269901793925e-05,0.5154321267102675,0.3947532927837387,0.5154539812315684,0.022853764390854098,0.1371225863451246,0.02183134127152268,0.089
55,123.0,123.0,OGLE-BLG-RRLYR-00003,"(50.0, inf]",0.51546531,,,,,,,,,,,,0.089
56,123.0,123.0,OGLE-BLG-RRLYR-00003,"(10.0, 20.0]",0.51546531,0.3870967741935484,0.1935483870967742,2.099352262093924,16.096774193548388,0.28555414287177805,0.22343644983844468,0.12018668709923128,9.697415060391682,0.6890862251613309,3.8366697273703223,17.682713737371667,0.4
